Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Strosin-Romaguera,Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Laura Thompson,05/17/24,Services,Disqualified,3,,,1025,20,06/20/24,
Wyman-Homenick,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Jessica Martinez,03/19/24,SAAS,Disqualified,3,,,1330,30,09/14/24,
"Koelpin, Gulgowski and Boyle",Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Michael Brown,05/30/24,Services,Disqualified,3,,,924,20,04/04/25,
"Daniel, Kshlerin and VonRueden",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Jessica Martinez,04/21/24,Services,Disqualified,3,,,352,20,12/30/24,
Macejkovic Group,Switzerland,46.204391,6.143158,Energy & Utilities,Small (11-200),Michael Brown,03/05/24,Services,Disqualified,3,,,779,30,01/17/25,
Volkman and Sons,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Sarah Davis,04/18/24,SAAS,Disqualified,3,,,1369,10,05/27/24,
Russel Group,France,48.864716,2.349014,Construction & Engineering,Small (11-200),Laura Thompson,04/27/24,SAAS,Disqualified,3,,,585,50,06/09/24,
"Romaguera, Fadel and Jast",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),John Smith,05/09/24,Services,Disqualified,3,,,372,100,04/18/25,
"Kris, Bode and Fisher",France,48.864716,2.349014,Manufacturing & Production,Small (11-200),Laura Thompson,04/27/24,Services,Disqualified,3,,,1915,30,10/21/24,
"Sawayn, Hansen and Marquardt",Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),John Smith,02/24/24,Services,Disqualified,3,,,1932,90,09/26/24,
"Kutch, Batz and McGlynn",France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Laura Thompson,04/15/24,Services,Disqualified,3,,,1366,40,08/12/24,
Mohr-Bogisich,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),David Wilson,05/19/24,SAAS,Disqualified,3,,,1379,60,01/05/25,
Christiansen Inc,Germany,52.520008,13.404954,Banking and Finance,Small (11-200),Laura Thompson,01/03/24,SAAS,Disqualified,3,,,689,90,11/14/24,
Adams-Koch,Austria,48.210033,16.363449,IT & IT Services,Small (11-200),David Wilson,03/24/24,SAAS,Disqualified,3,,,791,50,09/24/24,
Ebert-Howe,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Jessica Martinez,01/25/24,Services,Disqualified,3,,,680,20,09/24/24,
Collins Group,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),David Wilson,01/28/24,Services,Disqualified,3,,,655,90,12/11/24,
"Russel, Beahan and Hoppe",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Kevin Anderson,01/13/24,Services,Disqualified,3,,,1273,20,03/08/24,
"Jast, Upton and Bosco",Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Jessica Martinez,05/19/24,Services,Disqualified,3,,,556,20,03/21/25,
Schimmel-Doyle,Italy,41.902782,12.496366,Education & Science,Small (11-200),Laura Thompson,02/18/24,Services,Disqualified,3,,,281,20,09/16/24,
Schneider-Lesch,Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),John Smith,05/10/24,SAAS,Disqualified,3,,,598,40,12/11/24,
Harris-Boyle,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Emily Johnson,04/04/24,Services,Disqualified,3,,,1896,100,12/28/24,
"Wehner, Botsford and Brown",Spain,40.416775,-3.70379,Professional Services  & Consulting,Small (11-200),Emily Johnson,02/29/24,SAAS,Disqualified,3,,,1206,70,01/24/25,
Wilkinson-Jast,Spain,40.416775,-3.70379,Government Administration Healthcare,Small (11-200),Laura Thompson,03/16/24,Services,Disqualified,3,,,1915,10,02/09/25,
Littel-Cummerata,Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,02/11/24,Services,Disqualified,3,,,766,30,05/29/24,
"Weber, Morissette and Douglas",Spain,40.416775,-3.70379,Banking and Finance,Small (11-200),Michael Brown,04/18/24,SAAS,Disqualified,3,,,1609,80,08/02/24,
"Ondricka, Will and Goldner",Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Jessica Martinez,03/23/24,SAAS,Disqualified,3,,,560,60,05/01/24,
Tromp-Walter,France,48.864716,2.349014,Energy & Utilities,Small (11-200),Michael Brown,01/02/24,Services,Disqualified,3,,,432,20,09/26/24,
Schumm-Dickens,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Emily Johnson,05/20/24,SAAS,Disqualified,3,,,625,90,06/24/24,
Hessel-Grant,Belgium,51.260197,4.402771,Telecommunications,Small (11-200),Michael Brown,04/04/24,Services,Disqualified,3,,,980,30,06/25/24,
"Mayer, Cruickshank and Spencer",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Sarah Davis,04/02/24,SAAS,Disqualified,3,,,1471,40,02/23/25,
"O'Reilly, Hane and Toy",Spain,40.416775,-3.70379,Telecommunications,Small (11-200),Michael Brown,04/20/24,SAAS,Disqualified,3,,,900,40,07/01/24,
"Upton, Pacocha and Keeling",Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Sarah Davis,01/28/24,SAAS,Disqualified,3,,,1289,60,07/25/24,
"Leffler, Daniel and Runolfsdottir",France,48.864716,2.349014,Construction & Engineering,Small (11-200),John Smith,05/31/24,Custom solution,Disqualified,3,,,250,20,01/02/25,
Nienow Inc,France,48.864716,2.349014,IT & IT Services,Small (11-200),David Wilson,02/05/24,Services,Disqualified,3,,,657,40,04/23/24,
Ernser-Franecki,Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Sarah Davis,01/18/24,Services,Disqualified,3,,,1258,60,06/01/24,
Stroman Inc,Portugal,38.736946,-9.142685,Education & Science,Small (11-200),Jessica Martinez,05/03/24,Services,Disqualified,3,,,360,30,06/22/24,
"Cartwright, Medhurst and Harris",France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),Michael Brown,04/18/24,SAAS,Disqualified,3,,,1626,50,08/14/24,
Torp and Sons,Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Jessica Martinez,02/15/24,SAAS,Disqualified,3,,,472,50,10/06/24,
"Russel, Upton and Kuhn",Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Emily Johnson,05/08/24,Services,Disqualified,3,,,727,40,10/20/24,
"Huels, Gottlieb and Hoppe",Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Jessica Martinez,01/29/24,Custom solution,Disqualified,3,,,1801,90,07/03/24,
Podcat,Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Laura Thompson,03/19/24,SAAS,Disqualified,3,,,926,30,02/25/25,
Bubblemix,Italy,41.902782,12.496366,Telecommunications,Micro (1-10),Laura Thompson,03/04/24,Services,Disqualified,3,,,438,30,08/01/24,
Aibox,Italy,41.902782,12.496366,Recreation & Sports,Micro (1-10),Jessica Martinez,01/05/24,Services,Disqualified,3,,,577,30,06/29/24,
Topdrive,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Michael Brown,03/18/24,Services,Disqualified,3,,,530,40,01/27/25,
Shuffledrive,Austria,48.210033,16.363449,Telecommunications,Micro (1-10),Michael Brown,01/02/24,SAAS,Disqualified,3,,,696,60,12/18/24,
Abatz,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,04/29/24,SAAS,Disqualified,3,,,214,20,05/21/24,
Demivee,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Sarah Davis,04/16/24,SAAS,Disqualified,3,,,744,30,12/22/24,
Oyoloo,Belgium,51.260197,4.402771,Energy & Utilities,Micro (1-10),Jessica Martinez,02/14/24,Services,Disqualified,3,,,368,50,07/23/24,
"Reichel, Hamill and Hand",Netherlands,52.370216,4.895168,Banking and Finance,Micro (1-10),Kevin Anderson,04/15/24,Services,Disqualified,3,,,963,30,11/20/24,
Johns-Blanda,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,05/08/24,Services,Disqualified,3,,,960,50,02/12/25,
Carroll-Collier,France,48.864716,2.349014,Entertainment & Media & Hospitality,Micro (1-10),Michael Brown,04/20/24,SAAS,Disqualified,3,,,1053,10,08/29/24,
McKenzie and Sons,Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Sarah Davis,05/13/24,SAAS,Disqualified,3,,,1035,50,01/05/25,
Abbott-Schumm,France,48.864716,2.349014,Recreation & Sports,Micro (1-10),David Wilson,04/03/24,SAAS,Disqualified,3,,,951,50,03/02/25,
Watsica LLC,Switzerland,46.204391,6.143158,Government Administration Healthcare,Micro (1-10),Laura Thompson,05/05/24,SAAS,Disqualified,3,,,788,20,03/02/25,
"Bradtke, Kuhic and Wiza",France,48.864716,2.349014,Banking and Finance,Micro (1-10),Laura Thompson,01/23/24,Custom solution,Disqualified,3,,,674,50,06/05/24,
Kilback LLC,France,48.864716,2.349014,Construction & Engineering,Micro (1-10),John Smith,01/28/24,Services,Disqualified,3,,,1140,20,03/07/24,
"Treutel, Tillman and Wuckert",Switzerland,46.204391,6.143158,Telecommunications,Micro (1-10),Kevin Anderson,04/22/24,Services,Disqualified,3,,,1087,90,11/02/24,
"Erdman, Ward and Aufderhar",Italy,41.902782,12.496366,Education & Science,Micro (1-10),Michael Brown,05/03/24,Services,Disqualified,3,,,1110,30,12/30/24,
Smith LLC,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Kevin Anderson,02/07/24,SAAS,Disqualified,3,,,885,70,04/24/24,
O'Kon-Watsica,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Michael Brown,01/23/24,SAAS,Disqualified,3,,,1174,60,01/03/25,
Beer-Carter,France,48.864716,2.349014,IT & IT Services,Micro (1-10),David Wilson,02/08/24,SAAS,Disqualified,3,,,350,50,05/25/24,
Hilll Inc,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),Jessica Martinez,04/03/24,Services,Disqualified,3,,,552,30,01/10/25,
Maggio LLC,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Micro (1-10),David Wilson,05/19/24,Custom solution,Disqualified,3,,,595,40,12/23/24,
Connelly-Thompson,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Michael Brown,05/14/24,SAAS,Disqualified,3,,,341,90,03/24/25,
"Lind, Mueller and O'Conner",Switzerland,46.204391,6.143158,Education & Science,Micro (1-10),Sarah Davis,03/06/24,SAAS,Disqualified,3,,,586,100,03/03/25,
Torphy and Sons,Italy,41.902782,12.496366,Manufacturing & Production,Micro (1-10),Sarah Davis,01/18/24,Services,Disqualified,3,,,798,20,12/26/24,
Williamson-Nicolas,Switzerland,46.204391,6.143158,Construction & Engineering,Micro (1-10),Sarah Davis,04/15/24,SAAS,Disqualified,3,,,1038,50,03/03/25,
Howe and Sons,France,48.864716,2.349014,Recreation & Sports,Micro (1-10),Laura Thompson,02/14/24,Custom solution,Disqualified,3,,,461,40,08/16/24,
Wisoky and Sons,Austria,48.210033,16.363449,Recreation & Sports,Micro (1-10),Jessica Martinez,04/28/24,SAAS,Disqualified,3,,,726,40,06/18/24,
"Johnston, Ankunding and Raynor",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Michael Brown,03/17/24,SAAS,Disqualified,3,,,830,60,09/02/24,
Daniel-Hackett,Germany,52.520008,13.404954,Telecommunications,Micro (1-10),Michael Brown,01/13/24,SAAS,Disqualified,3,,,278,50,12/09/24,
Wilkinson-Wolff,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,04/21/24,Services,Disqualified,3,,,958,70,01/28/25,
"Cummerata, Tillman and Konopelski",Portugal,38.736946,-9.142685,Telecommunications,Micro (1-10),Jessica Martinez,03/25/24,SAAS,Disqualified,3,,,926,20,01/09/25,
"Pfeffer, Terry and Kiehn",Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),David Wilson,01/07/24,SAAS,Disqualified,3,,,620,70,08/04/24,
Cremin Inc,Austria,48.210033,16.363449,Professional Services  & Consulting,Micro (1-10),Laura Thompson,04/10/24,SAAS,Disqualified,3,,,636,60,04/03/25,
"Hauck, Hermiston and Hodkiewicz",Austria,48.210033,16.363449,Professional Services  & Consulting,Micro (1-10),Michael Brown,01/22/24,Services,Disqualified,3,,,982,50,10/12/24,
Wyman Group,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Laura Thompson,01/24/24,Services,Disqualified,3,,,982,60,08/14/24,
"Marvin, Maggio and Herman",Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Micro (1-10),John Smith,03/08/24,Services,Disqualified,3,,,367,100,12/28/24,
Aufderhar-Daugherty,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Laura Thompson,01/06/24,SAAS,Disqualified,3,,,1098,40,04/24/24,
Brown-Erdman,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),David Wilson,04/22/24,Custom solution,Disqualified,3,,,664,20,12/29/24,
Kub and Sons,Portugal,38.736946,-9.142685,Energy & Utilities,Micro (1-10),David Wilson,05/22/24,Services,Disqualified,3,,,990,70,01/03/25,
"Towne, Jacobs and Runte",France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Michael Brown,01/21/24,Custom solution,Disqualified,3,,,1162,40,04/18/24,
Jatri,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Laura Thompson,02/21/24,SAAS,Disqualified,3,,,3506,40,02/16/25,
Yodo,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),John Smith,05/08/24,SAAS,Disqualified,3,,,289,40,08/13/24,
Skalith,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Laura Thompson,05/14/24,Services,Disqualified,3,,,6754,30,06/05/24,
Vinder,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Sarah Davis,03/12/24,Services,Disqualified,3,,,6897,40,01/13/25,
Photojam,Portugal,38.736946,-9.142685,Agriculture & Mining,Medium (201-500),David Wilson,05/03/24,SAAS,Disqualified,3,,,1437,50,03/20/25,
Voonix,Spain,40.416775,-3.70379,Recreation & Sports,Medium (201-500),David Wilson,04/24/24,Services,Disqualified,3,,,3994,30,02/13/25,
Dynabox,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Emily Johnson,01/24/24,Custom solution,Disqualified,3,,,5221,40,10/06/24,
Riffpath,Spain,40.416775,-3.70379,Professional Services  & Consulting,Medium (201-500),David Wilson,05/16/24,Services,Disqualified,3,,,3292,60,04/01/25,
Tambee,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),John Smith,03/19/24,SAAS,Disqualified,3,,,5877,50,12/05/24,
Feedmix,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,04/18/24,Services,Disqualified,3,,,7026,40,11/07/24,
Babbleset,Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Emily Johnson,02/06/24,Services,Disqualified,3,,,692,20,04/24/24,
Flashdog,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Michael Brown,05/16/24,SAAS,Disqualified,3,,,5158,40,08/09/24,
Myworks,Belgium,51.260197,4.402771,Energy & Utilities,Medium (201-500),David Wilson,05/08/24,SAAS,Disqualified,3,,,1485,60,11/03/24,
Feedfire,Switzerland,46.204391,6.143158,Government Administration Healthcare,Medium (201-500),Michael Brown,03/08/24,SAAS,Disqualified,3,,,3139,90,11/13/24,
Cogilith,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Jessica Martinez,04/18/24,Custom solution,Disqualified,3,,,7646,10,11/22/24,
Vinte,Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Sarah Davis,02/05/24,Services,Disqualified,3,,,7893,30,04/30/24,
Flashpoint,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,01/19/24,Services,Disqualified,3,,,2490,30,03/03/24,
Meembee,Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),Michael Brown,05/24/24,SAAS,Disqualified,3,,,6309,40,09/05/24,
Brightdog,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,05/28/24,Services,Disqualified,3,,,7162,40,07/21/24,
Edgepulse,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Emily Johnson,05/14/24,Services,Disqualified,3,,,6188,80,01/05/25,
Wunsch Inc,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),David Wilson,03/08/24,Services,Disqualified,3,,,3823,70,04/05/24,
Wisoky-Schneider,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,03/27/24,Custom solution,Disqualified,3,,,6203,90,09/16/24,
Gutmann-Williamson,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),Emily Johnson,03/10/24,Custom solution,Disqualified,3,,,7516,40,07/28/24,
Breitenberg Inc,Portugal,38.736946,-9.142685,Agriculture & Mining,Medium (201-500),Sarah Davis,01/10/24,Custom solution,Disqualified,3,,,7850,50,05/18/24,
Koelpin and Sons,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Kevin Anderson,04/24/24,Services,Disqualified,3,,,7065,80,04/16/25,
"Bernhard, Lindgren and Harvey",Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Sarah Davis,05/19/24,Services,Disqualified,3,,,2090,40,05/14/25,
Stoltenberg-Weimann,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,04/12/24,SAAS,Disqualified,3,,,7110,50,02/22/25,
Wilderman-Romaguera,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),David Wilson,03/19/24,Services,Disqualified,3,,,7626,30,02/26/25,
Luettgen-Gorczany,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Medium (201-500),Michael Brown,04/03/24,Custom solution,Disqualified,3,,,6993,20,11/07/24,
Gleason Group,Portugal,38.736946,-9.142685,Energy & Utilities,Medium (201-500),Laura Thompson,04/15/24,Services,Disqualified,3,,,423,60,04/09/25,
Yost-Stiedemann,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Michael Brown,01/27/24,Custom solution,Disqualified,3,,,4590,40,07/20/24,
Pagac LLC,Belgium,51.260197,4.402771,Entertainment & Media & Hospitality,Medium (201-500),John Smith,02/23/24,Services,Disqualified,3,,,3253,20,08/24/24,
Turcotte-Abshire,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Michael Brown,03/16/24,SAAS,Disqualified,3,,,7482,40,06/25/24,
Goodwin-Bernier,France,48.864716,2.349014,IT & IT Services,Medium (201-500),John Smith,01/17/24,SAAS,Disqualified,3,,,4776,30,05/22/24,
Shields and Sons,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),John Smith,02/28/24,Custom solution,Disqualified,3,,,4750,40,06/15/24,
Gulgowski Group,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,02/25/24,SAAS,Disqualified,3,,,6320,50,11/06/24,
Paucek-Hodkiewicz,Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Laura Thompson,05/08/24,Services,Disqualified,3,,,3005,20,03/05/25,
Kreiger Inc,Portugal,38.736946,-9.142685,Energy & Utilities,Medium (201-500),Michael Brown,03/10/24,SAAS,Disqualified,3,,,6130,30,10/02/24,
Schinner Group,Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),Jessica Martinez,03/18/24,SAAS,Disqualified,3,,,6360,60,10/18/24,
Haag Inc,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Michael Brown,02/13/24,SAAS,Disqualified,3,,,3613,30,01/24/25,
"Ratke, Runolfsson and Pollich",Austria,48.210033,16.363449,IT & IT Services,Medium (201-500),Jessica Martinez,02/05/24,SAAS,Disqualified,3,,,3494,10,08/11/24,
"Hodkiewicz, Stanton and Howell",Italy,41.902782,12.496366,Recreation & Sports,Medium (201-500),Michael Brown,01/11/24,Services,Disqualified,3,,,7581,50,12/04/24,
"Koepp, Walsh and Kovacek",France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),John Smith,04/23/24,SAAS,Disqualified,3,,,5827,30,03/21/25,
McLaughlin-Baumbach,Portugal,38.736946,-9.142685,Manufacturing & Production,Medium (201-500),Laura Thompson,04/24/24,Services,Disqualified,3,,,7754,50,01/25/25,
"Koepp, Kihn and Yost",Netherlands,52.370216,4.895168,Banking and Finance,Medium (201-500),Jessica Martinez,04/19/24,Services,Disqualified,3,,,542,10,06/05/24,
Aufderhar-Donnelly,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Michael Brown,05/12/24,SAAS,Disqualified,3,,,5161,40,09/16/24,
Cassin LLC,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),John Smith,04/26/24,Services,Disqualified,3,,,860,30,04/03/25,
Hoppe-Price,Switzerland,46.204391,6.143158,Energy & Utilities,Medium (201-500),Sarah Davis,04/02/24,Services,Disqualified,3,,,2664,30,08/01/24,
Stracke-West,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,04/30/24,Services,Disqualified,3,,,7808,20,11/04/24,
Hessel-Miller,France,48.864716,2.349014,Entertainment & Media & Hospitality,Medium (201-500),Emily Johnson,05/22/24,Services,Disqualified,3,,,5821,30,06/13/24,
Murazik-Towne,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Kevin Anderson,04/16/24,SAAS,Disqualified,3,,,6404,40,07/22/24,
"Prohaska, Hahn and Klocko",Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Laura Thompson,05/31/24,Services,Disqualified,3,,,1872,20,03/06/25,
"Schaefer, Feest and Watsica",Austria,48.210033,16.363449,Education & Science,Medium (201-500),Michael Brown,03/15/24,SAAS,Disqualified,3,,,7798,40,02/28/25,
Lind and Sons,Germany,52.520008,13.404954,Manufacturing & Production,Medium (201-500),Michael Brown,03/02/24,SAAS,Disqualified,3,,,2725,50,07/01/24,
Swaniawski-Quigley,France,48.864716,2.349014,Construction & Engineering,Medium (201-500),Emily Johnson,03/10/24,SAAS,Disqualified,3,,,653,40,07/20/24,
Effertz-Pfannerstill,Netherlands,52.370216,4.895168,Recreation & Sports,Medium (201-500),Kevin Anderson,05/31/24,Services,Disqualified,3,,,3845,50,12/22/24,
Becker LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Emily Johnson,03/27/24,Services,Disqualified,3,,,2862,70,06/03/24,
Thompson-Schaefer,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Emily Johnson,01/03/24,SAAS,Disqualified,3,,,6413,30,09/16/24,
Jones LLC,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Emily Johnson,02/04/24,Services,Disqualified,3,,,5296,30,03/18/24,
Spencer-Beahan,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Jessica Martinez,01/10/24,Services,Disqualified,3,,,2269,30,12/16/24,
Hessel-Conn,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),Jessica Martinez,02/11/24,SAAS,Disqualified,3,,,5129,30,04/04/24,
"Skiles, Sawayn and Bradtke",Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),John Smith,01/14/24,SAAS,Disqualified,3,,,3756,20,06/13/24,
"Okuneva, Dooley and Schaden",Belgium,51.260197,4.402771,Construction & Engineering,Medium (201-500),Laura Thompson,04/03/24,SAAS,Disqualified,3,,,7165,40,12/02/24,
"Kub, Aufderhar and Ward",Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Emily Johnson,01/20/24,Custom solution,Disqualified,3,,,1241,40,09/09/24,
Orn-Kassulke,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),John Smith,03/17/24,SAAS,Disqualified,3,,,4487,40,02/02/25,
"Mills, Ortiz and McGlynn",Netherlands,52.370216,4.895168,Retail & Distribution,Medium (201-500),Kevin Anderson,02/21/24,SAAS,Disqualified,3,,,1725,60,06/11/24,
Gleason-Price,France,48.864716,2.349014,Construction & Engineering,Medium (201-500),Laura Thompson,05/02/24,Services,Disqualified,3,,,2081,70,05/24/24,
Schaden and Sons,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),Emily Johnson,01/08/24,Services,Disqualified,3,,,4044,60,08/12/24,
Von and Sons,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Jessica Martinez,02/20/24,Services,Disqualified,3,,,741,60,05/19/24,
Bartell-Kirlin,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Emily Johnson,04/26/24,Services,Disqualified,3,,,5826,40,12/18/24,
Gutkowski-Baumbach,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Jessica Martinez,01/27/24,SAAS,Disqualified,3,,,6543,20,04/13/24,
"Osinski, Wisoky and Schimmel",Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),John Smith,04/24/24,Services,Disqualified,3,,,1554,50,02/24/25,
Schneider-Schuppe,Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Laura Thompson,05/10/24,Services,Disqualified,3,,,3931,10,10/08/24,
"Crist, Okuneva and Veum",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Michael Brown,04/16/24,Custom solution,Disqualified,3,,,5437,90,10/06/24,
Rosenbaum-Upton,Spain,40.416775,-3.70379,Banking and Finance,Medium (201-500),Jessica Martinez,04/10/24,Services,Disqualified,3,,,3858,90,03/08/25,
Wolf Group,Belgium,51.260197,4.402771,Manufacturing & Production,Medium (201-500),David Wilson,04/28/24,SAAS,Disqualified,3,,,5767,20,06/10/24,
"Nolan, D'Amore and Wyman",Spain,40.416775,-3.70379,Transportation & Logistics,Medium (201-500),Emily Johnson,03/15/24,Services,Disqualified,3,,,1713,50,10/29/24,
"Kunde, Reinger and Jerde",Switzerland,46.204391,6.143158,Government Administration Healthcare,Medium (201-500),Kevin Anderson,04/17/24,SAAS,Disqualified,3,,,2750,30,12/09/24,
Edgeclub,Germany,52.520008,13.404954,Banking and Finance,Large (501-1000),Laura Thompson,03/13/24,SAAS,Disqualified,3,,,5353,30,07/19/24,
Schmidt-Beier,Italy,41.902782,12.496366,Banking and Finance,Large (501-1000),Laura Thompson,03/28/24,Custom solution,Disqualified,3,,,19224,30,05/21/24,
Smitham and Sons,Germany,52.520008,13.404954,IT & IT Services,Large (501-1000),Michael Brown,03/26/24,Services,Disqualified,3,,,5474,50,05/22/24,
"Spencer, Langworth and Hackett",Austria,48.210033,16.363449,Recreation & Sports,Enterprise (1001+),John Smith,02/10/24,SAAS,Disqualified,3,,,13724,20,09/10/24,
Lebsack LLC,Italy,41.902782,12.496366,Manufacturing & Production,Enterprise (1001+),Michael Brown,05/22/24,Custom solution,Disqualified,3,,,11121,20,12/24/24,
Muller Inc,Germany,52.520008,13.404954,Transportation & Logistics,Enterprise (1001+),John Smith,01/29/24,Custom solution,Disqualified,3,,,14687,70,12/31/24,
Oberbrunner-Metz,Italy,41.902782,12.496366,Education & Science,Enterprise (1001+),John Smith,04/14/24,SAAS,Disqualified,3,,,4281,60,09/12/24,
Schamberger-Rutherford,Italy,41.902782,12.496366,Banking and Finance,Enterprise (1001+),Kevin Anderson,05/02/24,Custom solution,Disqualified,3,,,3063,100,02/13/25,
Trilia,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Emily Johnson,01/02/24,SAAS,New,1,,,478,50,10/31/24,
Yotz,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,05/10/24,Custom solution,New,1,,,1380,80,11/06/24,
